stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
190,190,Bonanza @ Lamb (E),,36.17339,-115.079524,,,,,,0
191,191,Bonanza @ Lamb (W),,36.17361,-115.081208,,,,,,0
192,192,Bonanza @ Lillian (E),E BONANZA RD & LILLIAN ST,36.173856,-115.064826,,,,,,0
194,194,Bonanza @ Linn (W),,36.17437,-115.049299,,,,,,0
195,195,Bonanza @ Martin L King (E),,36.177024,-115.159496,,,,,,0
196,196,Bonanza @ Sunny (W),,36.177204,-115.162145,,,,,,0
199,199,Bonanza @ Main (W),,36.177396,-115.143351,,,,,,0
200,200,Bonanza @ Marion (E),,36.173675,-115.070672,,,,,,0
201,201,Bonanza @ Maryland (E),,36.173946,-115.130079,,,,,,0
202,202,Bonanza @ Maryland (W),,36.174125,-115.131052,,,,,,0
203,203,Bonanza @ McKnight (W),,36.173923,-115.112698,,,,,,0
205,205,Bonanza @ Sloan (W),,36.17448,-115.045629,,,,,,0
206,206,Bonanza @ Mojave (E),,36.173534,-115.105145,,,,,,0
207,207,Bonanza @ Mojave (W),,36.17382,-115.106448,,,,,,0
210,210,Bonanza @ Nellis (W),,36.174106,-115.064065,,,,,,0
211,211,Bonanza @ Page (E),,36.173532,-115.075256,,,,,,0
212,212,Bonanza @ Pecos (E),,36.173379,-115.097127,,,,,,0
213,213,Bonanza @ Pecos (W),,36.173669,-115.09918,,,,,,0
214,214,Bonanza @ Marion (W),,36.173901,-115.070492,,,,,,0
215,215,Bonanza @ Rancho (E),,36.177082,-115.173879,,,,,,0
217,217,Bonanza @ Reef (W),,36.17363,-115.095858,,,,,,0
219,219,Bonanza @ Sandhill (E),,36.173357,-115.088638,,,,,,0
220,220,Bonanza @ 28th (E),,36.173652,-115.111057,,,,,,0
225,225,Bonanza @ Tonopah (E),,36.177082,-115.169368,,,,,,0
226,226,Bonanza @ Tonopah (W),,36.177229,-115.170583,,,,,,0
227,227,Bonanza @ Triest (E),,36.173373,-115.085689,,,,,,0
228,228,Bonanza @ Triest (W),,36.17359,-115.087209,,,,,,0
229,229,Bonanza @ Casino Center (E),,36.175984,-115.139848,,,,,,0
230,230,Bonanza @ Wardelle (W),,36.173862,-115.109998,,,,,,0
236,236,Boulder @ Sahara (S),,36.140569,-115.096002,,,,,,0
242,242,Railroad Pass @ Railroad Pass (S),,35.972099,-114.911989,,,,,,0
246,246,Boulder @ Basic (S),,36.032539,-114.974487,,,,,,0
247,247,Boulder @ Lamb (N),,36.132586,-115.086309,,,,,,0
248,248,Boulder @ Pueblo (N),,36.021832,-114.961749,,,,,,0
249,249,Boulder @ College (S),,36.020521,-114.960953,,,,,,0
250,250,Boulder @ Corn (N),,36.060508,-115.005223,,,,,,0
251,251,Boulder @ Corn (S),,36.059372,-115.004641,,,,,,0
252,252,Boulder @ Dalhart (N),,36.140224,-115.094936,,,,,,0
253,253,Boulder @ Desert Horizons (N),,36.088976,-115.037225,,,,,,0
254,254,Boulder @ Kentucky (S),,36.088729,-115.037659,,,,,,0
259,259,Boulder @ Flamingo (S),,36.11576,-115.068069,,,,,,0
260,260,Boulder @ Flamingo (N),,36.115577,-115.067173,,,,,,0
262,262,Boulder @ Coogan (S),,36.061738,-115.007293,,,,,,0
267,267,Boulder @ Greenway (S),,36.023658,-114.964467,,,,,,0
268,268,Boulder @ Hamilton (N),,36.092346,-115.040987,,,,,,0
270,270,Boulder @ Harmon (S),,36.107583,-115.058858,,,,,,0
272,272,Boulder @ Indios (N),,36.121852,-115.074242,,,,,,0
273,273,Boulder @ Indios (S),,36.120758,-115.073699,,,,,,0
275,275,Boulder @ King (N),,36.055367,-114.999437,,,,,,0
276,276,Boulder @ Lake Mead (N),,36.040496,-114.982682,,,,,,0
